,Date,Open,High,Low,Close,Adjusted_close,Volume,macd_hist,exp11,exp22,exp50
0,2023-02-01,322.3,343.05,319.45,330.2,330.2,20594047,9.41087160382051,276.1730822329647,234.99592925786376,194.43640985083118
1,2023-01-02,324.3,339.95,304.9,321.2,321.2,66980597,9.556839206503788,266.35000627532196,227.37960359849288,188.8950388243345
2,2022-12-01,317.65,330.5,305.1,324.3,324.3,60005437,9.478954588490666,256.3772801435623,219.8739718863723,183.49483632736857
3,2022-11-01,292.2,318.0,270.0,316.45,316.45,119176197,7.85319005626031,244.02769471511908,211.5198896372821,177.74768678971014
4,2022-10-03,279.8,293.4,262.0,290.7,290.7,52471863,5.043204529364459,230.8600028451407,203.12548080826465,172.0863678831677
5,2022-09-01,251.25,303.45,249.2,278.7,278.7,111775469,2.4299677143427374,219.98000336243905,196.11951927292583,167.24499514370515
6,2022-08-01,220.35,268.3,218.55,251.7,251.7,78264779,-1.0324649239167236,209.30364033742796,189.5130808147599,162.69581127201963
7,2022-07-01,185.7,222.0,184.3,219.9,219.9,37869319,-4.024056649635238,201.59521130786942,184.53812727994068,159.06298724230612
8,2022-06-01,218.5,223.7,167.1,185.1,185.1,70117334,-5.529264393008475,198.26706790930024,181.70917746233593,156.57984386444107
9,2022-05-02,202.2,224.5,189.05,218.35,214.54,83247492,-4.246302341101938,200.66108025644576,181.4379116593228,155.41575585890806
10,2022-04-01,191.1,214.0,187.0,205.0,201.42,74037100,-5.183150812496741,198.1376403030723,178.78974459206864,153.0025214041696
11,2022-03-02,183.7,194.9,165.25,191.0,187.66,79291166,-5.265310755155081,197.54084763090364,176.97932415943416,151.02629778801327
12,2022-02-01,218.75,230.5,176.45,184.7,181.47,85731293,-3.930666625625225,199.337365381977,176.1248700921889,149.5310446365036
13,2022-01-03,220.2,245.0,205.5,216.65,212.87,60116212,-1.2371110017744371,202.5859772696092,175.697259699564,148.22741380534046
14,2021-12-01,205.25,221.4,197.8,217.15,213.36,42508092,-0.44239184279965826,200.7161549549927,172.72344047552912,145.58894089943598
15,2021-11-01,215.1,237.0,200.8,204.55,200.98,57815583,0.39905404118403,198.41727403771864,169.47251571357145,142.82277522186192
16,2021-10-01,224.5,250.0,208.1,212.9,209.18,87503432,2.5534661194340558,197.9513238627584,166.95191697065718,140.4490109452032
17,2021-09-01,213.7,239.85,213.05,225.7,221.76,85480518,4.528501812141521,195.90974638325991,163.57367032830976,137.64366445317071
18,2021-08-02,224.85,231.95,203.35,212.95,209.23,82795687,5.61548752677756,191.20970027112534,158.91876395457453,134.2103446349328
19,2021-07-01,226.1,241.0,215.6,223.45,219.55,88927820,7.767840159583351,187.9332821386027,154.89386507094048,131.1483178853382
20,2021-06-01,222.85,243.0,218.5,225.0,217.85,113564820,9.133796837186281,182.184787981985,149.7213742766157,127.54008596229079
21,2021-05-03,213.0,228.7,204.55,222.05,215.0,160122641,10.382952101078153,175.70020397870957,144.27108421874496,123.85396702197612
22,2021-04-01,226.25,236.9,198.55,216.35,209.48,139244128,11.491585930431661,168.55478652029313,138.61277095624456,120.13372077797513
23,2021-03-01,235.0,261.25,208.0,223.7,216.59,168064670,12.592912831138783,161.1138386148919,132.94339263274412,116.48693387095369
24,2021-02-01,198.25,256.5,192.4,232.1,224.73,325906825,12.346294831011567,151.02726381759953,126.25166404336366,112.40109443711506
25,2021-01-01,178.45,239.7,174.5,196.65,190.4,368472395,9.910637927586187,137.62676632989036,118.37339716683276,107.81624114883404
26,2020-12-01,184.5,200.0,170.35,178.0,172.35,202781274,8.555292241570726,128.03163293532498,112.61126894017939,104.4454754814395
27,2020-11-02,140.9,185.5,138.75,184.45,178.59,164371664,7.415328865899058,119.97374801447498,107.83217045539374,101.67386223578396
28,2020-10-01,131.95,152.65,124.1,139.9,135.46,144729885,4.272287084937783,109.31624765347044,102.17154409182524,98.53442804132617
29,2020-09-01,124.0,135.55,109.55,130.85,126.69,172058173,3.250025811275363,104.5628381359196,99.50846761917127,97.02726183893131
30,2020-08-03,108.9,139.0,107.55,123.55,119.63,238092209,2.2139345156367956,100.5397177969959,97.33394502870497,95.81653783235707
31,2020-07-01,108.8,119.6,105.9,108.35,104.91,136697845,1.0801421417033863,97.0687573964497,95.55026063100138,94.84455978469818
32,2020-06-01,99.2,114.95,97.5,108.0,104.57,236036120,0.6732763532763443,95.64307692307692,94.80148148148149,94.43372549019607
33,2020-05-12,92.9,100.8,88.0,97.1,94.02,129154833,0.0,94.02,94.02,94.02
